"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000062716",7.43494655877953e-41,0.499114965833899,0.903,0.704,1.60743544600813e-36,"4","ENSG00000062716"
"ENSG00000060982",8.97052176861163e-41,0.336486365765482,0.57,0.282,1.93942680637383e-36,"4","ENSG00000060982"
"ENSG000001671831",1.16809146481254e-40,0.528419304672393,0.628,0.334,2.52541374692471e-36,"4","ENSG00000167183"
"ENSG000001631911",8.6787094377911e-40,0.44999245673947,0.996,0.95,1.87633698045044e-35,"4","ENSG00000163191"
"ENSG00000168938",1.0148121232603e-39,0.337601943626851,0.884,0.614,2.19402381048877e-35,"4","ENSG00000168938"
"ENSG00000107984",4.03358374537625e-39,0.320256331505476,0.501,0.227,8.72060805750345e-35,"4","ENSG00000107984"
"ENSG00000139329",6.64445889160504e-39,0.482778060198476,0.729,0.413,1.43653201236501e-34,"4","ENSG00000139329"
"ENSG00000145494",1.57375822622535e-38,0.365297149272152,0.981,0.914,3.40246528509921e-34,"4","ENSG00000145494"
"ENSG00000163399",9.63499893536816e-38,0.399348260943219,0.925,0.75,2.0830867698266e-33,"4","ENSG00000163399"
"ENSG00000250479",4.9366794706999e-36,0.405446321563813,0.931,0.78,1.06731010156532e-31,"4","ENSG00000250479"
"ENSG000001554651",1.058701189401e-35,0.453277507366977,0.912,0.697,2.28891197148496e-31,"4","ENSG00000155465"
"ENSG00000090013",1.32919674914275e-35,0.447993145472515,0.959,0.854,2.87372337164663e-31,"4","ENSG00000090013"
"ENSG000001378011",3.06037819678714e-35,0.401301638664564,0.613,0.35,6.61653766145379e-31,"4","ENSG00000137801"
"ENSG00000164687",4.96345943764197e-34,0.476467592894324,0.955,0.794,1.07309993041819e-29,"4","ENSG00000164687"
"ENSG00000159202",1.1197720678846e-33,0.292606346058527,0.727,0.457,2.42094721076652e-29,"4","ENSG00000159202"
"ENSG00000105810",2.43314787485281e-33,0.283544862295216,0.735,0.434,5.26046570543177e-29,"4","ENSG00000105810"
"ENSG00000141367",3.48066827455726e-33,0.327994456414999,0.849,0.603,7.52520480959279e-29,"4","ENSG00000141367"
"ENSG00000164292",3.5529026561356e-33,0.303807254199356,0.641,0.368,7.68137554256516e-29,"4","ENSG00000164292"
"ENSG00000167085",6.79248584616482e-33,0.503731463621488,0.951,0.901,1.46853543994083e-28,"4","ENSG00000167085"
"ENSG000001696351",1.16366607955377e-32,0.548752877817361,0.948,0.858,2.51584606399526e-28,"4","ENSG00000169635"
"ENSG000001877351",1.81707735959335e-32,0.484010627894527,0.961,0.858,3.92852125144082e-28,"4","ENSG00000187735"
"ENSG00000164919",1.83196762329968e-32,0.406371458029212,0.987,0.954,3.96071400157391e-28,"4","ENSG00000164919"
"ENSG00000136436",1.92250312668738e-32,0.254682729311731,0.617,0.346,4.15645175989811e-28,"4","ENSG00000136436"
"ENSG00000160932",5.87090812488382e-32,0.497138718714738,1,0.98,1.26929033659988e-27,"4","ENSG00000160932"
"ENSG00000136026",3.99469684304164e-31,0.267538500318283,0.733,0.45,8.63653457465602e-27,"4","ENSG00000136026"
"ENSG00000070214",6.54097895720937e-31,0.255954844415154,0.757,0.471,1.41415965054867e-26,"4","ENSG00000070214"
"ENSG00000145287",7.88238803065761e-31,0.552655603705759,0.791,0.59,1.70417229222818e-26,"4","ENSG00000145287"
"ENSG00000003436",2.07435494970948e-30,0.547222200676733,0.974,0.937,4.48475540127189e-26,"4","ENSG00000003436"
"ENSG00000075420",3.10209299588006e-30,0.298304825245368,0.768,0.5,6.70672505709269e-26,"4","ENSG00000075420"
"ENSG000001760461",3.28243739660954e-30,0.608173192380025,0.944,0.822,7.09662965146982e-26,"4","ENSG00000176046"
"ENSG00000150556",8.87797424176617e-30,0.349687097693714,0.854,0.638,1.91941803106985e-25,"4","ENSG00000150556"
"ENSG000001629091",2.17975395061481e-29,0.325449145198971,0.824,0.594,4.71262804122921e-25,"4","ENSG00000162909"
"ENSG000001437991",6.24778550005928e-29,0.306234187132276,0.8,0.529,1.35077122511282e-24,"4","ENSG00000143799"
"ENSG00000136942",9.02345643561974e-29,0.288580539683494,1,0.993,1.95087128138099e-24,"4","ENSG00000136942"
"ENSG000001028041",1.20222080743379e-28,0.263425269327745,0.656,0.369,2.59920138567186e-24,"4","ENSG00000102804"
"ENSG00000168461",1.67224307636541e-28,0.253123538295392,0.684,0.408,3.61538953110201e-24,"4","ENSG00000168461"
"ENSG000001476491",4.03688970351613e-28,0.409535921504293,0.961,0.853,8.72775553900187e-24,"4","ENSG00000147649"
"ENSG00000154380",4.45254406583685e-28,0.27963205773817,0.731,0.472,9.62640027033927e-24,"4","ENSG00000154380"
"ENSG00000197111",4.92029535612415e-28,0.349596129893125,0.983,0.942,1.06376785599404e-23,"4","ENSG00000197111"
"ENSG00000113361",6.54938043109829e-28,0.306612845083462,0.596,0.341,1.41597604920345e-23,"4","ENSG00000113361"
"ENSG000001863952",7.34848326037776e-28,0.415500019700257,0.86,0.674,1.58874208089367e-23,"4","ENSG00000186395"
"ENSG000001619812",9.29918968391938e-28,0.27394582945147,0.731,0.465,2.01048480966337e-23,"4","ENSG00000161981"
"ENSG00000153250",1.16313194955349e-27,0.263074022213594,0.789,0.53,2.51469127493465e-23,"4","ENSG00000153250"
"ENSG000001836961",1.34613793907235e-27,0.300403080444994,0.768,0.51,2.91035022427441e-23,"4","ENSG00000183696"
"ENSG00000143153",1.49219285156343e-27,0.384725629629537,0.963,0.861,3.22612094508013e-23,"4","ENSG00000143153"
"ENSG000001635771",3.29267968662888e-27,0.253307622029047,0.714,0.448,7.11877348249165e-23,"4","ENSG00000163577"
"ENSG00000114120",2.09062360582126e-26,0.304245008898251,0.718,0.48,4.51992823578556e-22,"4","ENSG00000114120"
"ENSG00000244187",9.28003857224095e-26,0.290881376841598,0.796,0.561,2.00634433931849e-21,"4","ENSG00000244187"
"ENSG00000008988",2.30151887266826e-25,0.453547534839866,0.929,0.788,4.97588380270878e-21,"4","ENSG00000008988"
"ENSG000001718482",4.14861357779713e-25,0.35321122328501,0.398,0.194,8.96930255519739e-21,"4","ENSG00000171848"
"ENSG00000206140",1.03843536145189e-24,0.296866840946844,0.852,0.625,2.24509725145899e-20,"4","ENSG00000206140"
"ENSG00000108468",1.56997123908393e-24,0.2882528814865,0.727,0.497,3.39427781889945e-20,"4","ENSG00000108468"
"ENSG00000198176",3.77055114732784e-24,0.270268120723128,0.69,0.45,8.15193158052278e-20,"4","ENSG00000198176"
"ENSG00000167105",4.01672644541686e-24,0.300315523428006,0.733,0.506,8.68416257499126e-20,"4","ENSG00000167105"
"ENSG000000808241",4.54551728664559e-24,0.447495271294179,0.989,0.97,9.82740837372776e-20,"4","ENSG00000080824"
"ENSG000001713451",8.62385918039393e-24,0.351705600452439,0.927,0.714,1.86447835480117e-19,"4","ENSG00000171345"
"ENSG000001415521",2.29877375494829e-23,0.321342907311122,0.989,0.971,4.96994885819821e-19,"4","ENSG00000141552"
"ENSG00000174437",2.52304273273193e-23,0.268246025928655,0.738,0.497,5.45481838816642e-19,"4","ENSG00000174437"
"ENSG000001342912",4.85771700302352e-23,0.287101594156207,0.763,0.535,1.05023841605368e-18,"4","ENSG00000134291"
"ENSG00000142089",5.54662542641343e-23,0.310657244864372,0.968,0.881,1.19918041719058e-18,"4","ENSG00000142089"
