"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000147168",6.16224956229656e-52,0.488321526362485,0.608,0.329,1.31792031388837e-47,"4","ENSG00000147168"
"ENSG00000109046",1.37689642221075e-51,0.475572746898894,0.787,0.559,2.94476837818214e-47,"4","ENSG00000109046"
"ENSG00000161671",2.60187107924505e-51,0.529904274239786,0.897,0.767,5.56462167718139e-47,"4","ENSG00000161671"
"ENSG00000196502",1.06258245121098e-50,0.282660357867985,0.381,0.138,2.27254508840493e-46,"4","ENSG00000196502"
"ENSG00000198467",1.40313551658551e-50,0.587092358351794,0.941,0.882,3.00088592932143e-46,"4","ENSG00000198467"
"ENSG00000147649",1.75247434210217e-50,0.480834473654343,0.952,0.865,3.74801687545392e-46,"4","ENSG00000147649"
"ENSG000001516321",3.41769933232673e-50,0.679467473552996,0.684,0.393,7.30943356204718e-46,"4","ENSG00000151632"
"ENSG000001271841",3.51179250877606e-50,0.395050208532127,1,0.981,7.51067063851936e-46,"4","ENSG00000127184"
"ENSG00000172594",9.49243394951499e-50,0.368723990010984,0.474,0.212,2.03014684878277e-45,"4","ENSG00000172594"
"ENSG00000086548",3.39463859094765e-49,0.583222565069852,0.402,0.154,7.26011355445974e-45,"4","ENSG00000086548"
"ENSG00000129474",3.93559159597846e-49,0.356227546969293,0.549,0.273,8.41704974631912e-45,"4","ENSG00000129474"
"ENSG00000156482",7.61991659302029e-49,0.391948220535829,0.998,0.994,1.62967156174925e-44,"4","ENSG00000156482"
"ENSG00000147403",1.84804313835037e-48,0.312270398693923,0.998,0.997,3.95240985998994e-44,"4","ENSG00000147403"
"ENSG00000172270",3.0283505398821e-48,0.435645693679984,0.987,0.965,6.47673329964585e-44,"4","ENSG00000172270"
"ENSG00000149131",4.13949236276748e-48,0.26997556469313,0.339,0.116,8.85313231625081e-44,"4","ENSG00000149131"
"ENSG00000196975",6.42958575066146e-48,0.565540147575486,0.956,0.887,1.37509550449397e-43,"4","ENSG00000196975"
"ENSG00000112414",7.79349688051149e-48,0.404064247747332,0.596,0.328,1.66679517783499e-43,"4","ENSG00000112414"
"ENSG000000925311",1.26413818551707e-47,0.455889734912826,0.808,0.589,2.70361233736536e-43,"4","ENSG00000092531"
"ENSG000001554651",1.94927190831387e-47,0.527966462627248,0.857,0.656,4.16890783031087e-43,"4","ENSG00000155465"
"ENSG00000158604",3.058833055154e-47,0.425092714973054,0.735,0.512,6.54192625505786e-43,"4","ENSG00000158604"
"ENSG00000166710",5.81168360450843e-47,0.44685284393508,1,0.988,1.24294477249622e-42,"4","ENSG00000166710"
"ENSG00000074842",1.94800651044272e-46,0.438139589595758,0.981,0.944,4.16620152388384e-42,"4","ENSG00000074842"
"ENSG00000121310",2.45824886710818e-46,0.294179323391739,0.358,0.133,5.25745685208426e-42,"4","ENSG00000121310"
"ENSG00000151491",6.58441617860836e-46,0.373994461560509,0.539,0.273,1.40820908811897e-41,"4","ENSG00000151491"
"ENSG00000183828",1.02326938626651e-45,0.391531291971624,0.52,0.27,2.18846623640818e-41,"4","ENSG00000183828"
"ENSG00000119888",1.20820633301711e-45,0.485284896476301,0.989,0.944,2.58399088442368e-41,"4","ENSG00000119888"
"ENSG00000184007",1.95691352455647e-45,0.444449573729805,0.985,0.931,4.18525095496892e-41,"4","ENSG00000184007"
"ENSG00000102996",2.07153821827946e-45,0.294874864155539,0.408,0.166,4.43039878743428e-41,"4","ENSG00000102996"
"ENSG000001647132",2.46252370249406e-45,0.400132935198771,0.998,0.988,5.26659944252405e-41,"4","ENSG00000164713"
"ENSG00000104231",3.16027821658578e-45,0.467622927685945,0.764,0.566,6.75888702181202e-41,"4","ENSG00000104231"
"ENSG00000163466",3.96906321007418e-45,0.418769656643164,0.992,0.956,8.48863548738564e-41,"4","ENSG00000163466"
"ENSG00000121900",4.03458379960224e-45,0.258669047579372,0.358,0.133,8.62876437220931e-41,"4","ENSG00000121900"
"ENSG00000142798",5.29709604853766e-45,0.293472212825184,0.419,0.175,1.13288993190075e-40,"4","ENSG00000142798"
"ENSG00000133134",6.14077967258594e-45,0.354763550982142,0.461,0.205,1.31332854857595e-40,"4","ENSG00000133134"
"ENSG00000106367",7.44055107466867e-45,0.465486165831745,0.939,0.84,1.59131065833939e-40,"4","ENSG00000106367"
"ENSG000000659112",2.93054604516382e-44,0.49044872287209,0.895,0.754,6.26755882679186e-40,"4","ENSG00000065911"
"ENSG00000103257",3.05682773202271e-44,0.309480598782193,0.434,0.188,6.53763747047696e-40,"4","ENSG00000103257"
"ENSG00000070756",4.10268012165331e-44,0.455421880184226,0.979,0.95,8.77440197617992e-40,"4","ENSG00000070756"
"ENSG000001631911",6.86845135494689e-44,0.464514531089662,0.989,0.942,1.46895569128249e-39,"4","ENSG00000163191"
"ENSG00000188290",1.50669639022209e-43,0.511402798550841,0.693,0.405,3.22237156976799e-39,"4","ENSG00000188290"
"ENSG00000070831",2.08064540827416e-43,0.451520474050528,0.983,0.95,4.44987633467594e-39,"4","ENSG00000070831"
"ENSG000001059711",2.15407209466656e-43,0.617109477408147,0.844,0.657,4.60691398886338e-39,"4","ENSG00000105971"
"ENSG00000101782",2.46651914941277e-43,0.473174146407017,0.846,0.675,5.2751445048491e-39,"4","ENSG00000101782"
"ENSG00000213654",3.06397467839853e-43,0.319460170958054,0.474,0.225,6.55292264469093e-39,"4","ENSG00000213654"
"ENSG00000105404",3.55793293633284e-43,0.429536302549968,0.992,0.963,7.60935117093504e-39,"4","ENSG00000105404"
"ENSG000001053291",4.67188880541409e-43,0.53488496241669,0.756,0.515,9.99176858813912e-39,"4","ENSG00000105329"
"ENSG00000132432",1.21390306963324e-42,0.419969990330148,0.998,0.985,2.59617449502462e-38,"4","ENSG00000132432"
"ENSG00000111229",4.33401211995415e-42,0.373544921313411,0.989,0.974,9.26915172094595e-38,"4","ENSG00000111229"
"ENSG00000089063",4.71041827023707e-42,0.415251378727654,0.941,0.87,1.0074171554556e-37,"4","ENSG00000089063"
"ENSG00000148450",6.2535401611429e-42,0.310925418621098,0.474,0.229,1.33744463426363e-37,"4","ENSG00000148450"
"ENSG000001312361",1.58536795249176e-41,0.588846785039892,0.922,0.839,3.39062643999413e-37,"4","ENSG00000131236"
"ENSG00000135047",1.70028339265266e-41,0.465438333633118,0.832,0.66,3.63639609186623e-37,"4","ENSG00000135047"
"ENSG00000256232",2.0137096815729e-41,0.362890607737172,0.547,0.292,4.30672089597996e-37,"4","ENSG00000256232"
"ENSG00000139329",3.92897111687212e-41,0.462053059686481,0.623,0.344,8.4028905276544e-37,"4","ENSG00000139329"
"ENSG00000140105",3.95840347264343e-41,0.390736816511546,0.697,0.466,8.4658375069425e-37,"4","ENSG00000140105"
"ENSG00000115128",7.82814249928214e-41,0.405258498841231,0.966,0.903,1.67420483632147e-36,"4","ENSG00000115128"
"ENSG00000067167",7.5740947126874e-40,0.470327942498965,0.867,0.776,1.61987163620245e-35,"4","ENSG00000067167"
"ENSG000001049641",1.01470057958633e-39,0.660685307060088,0.983,0.937,2.17014012956128e-35,"4","ENSG00000104964"
"ENSG00000198380",1.19074015552019e-39,0.406733519606781,0.779,0.565,2.54663597061103e-35,"4","ENSG00000198380"
