"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG000000708312",3.80239426250426e-10,0.323480689936281,1,0.966,7.86030941944882e-06,"9","ENSG00000070831"
"ENSG000001415521",3.97008758893049e-10,0.280690993526305,1,0.982,8.20696506383711e-06,"9","ENSG00000141552"
"ENSG00000185787",4.09332938554801e-10,0.350748720032193,0.975,0.938,8.46173050580485e-06,"9","ENSG00000185787"
"ENSG000001112372",4.16979214778299e-10,0.31394694338428,0.943,0.855,8.619794327897e-06,"9","ENSG00000111237"
"ENSG000001049041",4.87059252329746e-10,0.281852061610443,1,0.979,1.00684888641605e-05,"9","ENSG00000104904"
"ENSG00000127774",5.07461770127222e-10,0.273617669003663,0.975,0.857,1.04902497120699e-05,"9","ENSG00000127774"
"ENSG000000900131",5.26420671970572e-10,0.348184545081917,0.984,0.923,1.08821681309757e-05,"9","ENSG00000090013"
"ENSG000001695641",5.27361027230856e-10,0.318234341323683,0.992,0.938,1.09016071549163e-05,"9","ENSG00000169564"
"ENSG000001361042",5.29008487658042e-10,0.269358611229178,0.754,0.481,1.0935663456867e-05,"9","ENSG00000136104"
"ENSG000001117861",5.43711066447959e-10,0.32426852198157,1,0.963,1.12395951656122e-05,"9","ENSG00000111786"
"ENSG00000184900",5.47404519626123e-10,0.285022768207727,0.885,0.713,1.13159462297112e-05,"9","ENSG00000184900"
"ENSG000001183632",5.86885452175309e-10,0.317515397471088,0.992,0.952,1.2132096067368e-05,"9","ENSG00000118363"
"ENSG000001260671",7.19289423802457e-10,0.321488674788894,0.992,0.965,1.48691509688444e-05,"9","ENSG00000126067"
"ENSG000001089531",7.58809963555373e-10,0.30200738427074,1,0.986,1.56861195666167e-05,"9","ENSG00000108953"
"ENSG000000858711",8.37169735990733e-10,0.405365595252273,0.992,0.91,1.73059727824004e-05,"9","ENSG00000085871"
"ENSG00000182512",8.42107499264537e-10,0.288352980099432,0.975,0.878,1.74080462247965e-05,"9","ENSG00000182512"
"ENSG000001989383",8.51608592067392e-10,0.518925025037455,0.992,0.961,1.76044528152171e-05,"9","ENSG00000198938"
"ENSG00000116898",8.75344594210036e-10,0.337858393605758,0.943,0.864,1.80951234515099e-05,"9","ENSG00000116898"
"ENSG00000113658",8.93414721609056e-10,0.25779439016697,0.811,0.549,1.84686691251024e-05,"9","ENSG00000113658"
"ENSG000001354862",9.42284524465436e-10,0.293248643443929,1,0.982,1.94789056897495e-05,"9","ENSG00000135486"
"ENSG000000671672",9.64720211583452e-10,0.34299859533412,0.877,0.75,1.99426962138531e-05,"9","ENSG00000067167"
"ENSG000001375471",9.81574730113691e-10,0.274956022504531,0.836,0.633,2.02911128209102e-05,"9","ENSG00000137547"
"ENSG000001661452",1.02552368096945e-09,0.301841485102937,0.811,0.557,2.11996255330006e-05,"9","ENSG00000166145"
"ENSG000000133061",1.03446005987034e-09,0.336924185588552,0.943,0.873,2.13843583576397e-05,"9","ENSG00000013306"
"ENSG000001667101",1.13960315376194e-09,0.387470794140623,1,0.988,2.35578763945668e-05,"9","ENSG00000166710"
"ENSG00000163714",1.22599924060191e-09,0.335223960517061,0.893,0.718,2.53438563017227e-05,"9","ENSG00000163714"
"ENSG000001471552",1.25120610323316e-09,0.274092473364758,0.828,0.599,2.58649325660358e-05,"9","ENSG00000147155"
"ENSG000001325072",1.3061875364035e-09,0.297926183144732,1,0.959,2.70015087525331e-05,"9","ENSG00000132507"
"ENSG00000169714",1.35150462696663e-09,0.298201416288204,1,0.926,2.79383036486542e-05,"9","ENSG00000169714"
"ENSG000001304291",1.35982680766267e-09,0.343376638762059,0.943,0.866,2.81103397680027e-05,"9","ENSG00000130429"
"ENSG000000664051",1.56278820041392e-09,0.426288923431658,0.795,0.542,3.23059576789566e-05,"9","ENSG00000066405"
"ENSG00000148335",1.58065690023265e-09,0.25099986870658,0.844,0.573,3.26753394416094e-05,"9","ENSG00000148335"
"ENSG000001052023",1.6845400614617e-09,0.321045812220706,1,0.922,3.48228121505362e-05,"9","ENSG00000105202"
"ENSG00000170035",1.71893169579843e-09,0.284378357336758,0.828,0.582,3.55337560155451e-05,"9","ENSG00000170035"
"ENSG00000135002",1.74158828999508e-09,0.351855721816273,0.877,0.781,3.60021131307783e-05,"9","ENSG00000135002"
"ENSG000000765541",1.75047955481972e-09,0.314614182549145,0.967,0.894,3.61859133572333e-05,"9","ENSG00000076554"
"ENSG000000748001",1.98818085949076e-09,0.280948297870209,1,0.984,4.10996747273929e-05,"9","ENSG00000074800"
"ENSG000001344531",1.99610853295705e-09,0.297549710445144,0.877,0.689,4.12635555932882e-05,"9","ENSG00000134453"
"ENSG00000107863",2.08061735057728e-09,0.312006099377488,0.828,0.667,4.30105218711335e-05,"9","ENSG00000107863"
"ENSG000001368101",2.22634839023154e-09,0.359728729551372,1,0.993,4.60230739228665e-05,"9","ENSG00000136810"
"ENSG000001056991",2.23874744506568e-09,0.319496423807789,0.91,0.746,4.62793871843978e-05,"9","ENSG00000105699"
"ENSG000001158752",2.23939891184555e-09,0.380119600798558,0.926,0.798,4.62928543056713e-05,"9","ENSG00000115875"
"ENSG000000902731",2.2792028097966e-09,0.309338868722718,1,0.917,4.71156804841154e-05,"9","ENSG00000090273"
"ENSG000001030351",2.33977922153079e-09,0.315013228675995,0.967,0.897,4.83679160674845e-05,"9","ENSG00000103035"
"ENSG000001988992",2.46204801499536e-09,0.55464871125178,0.992,0.963,5.08954565659841e-05,"9","ENSG00000198899"
"ENSG000001774102",2.5534504402619e-09,0.300904733388323,0.967,0.901,5.2784927501094e-05,"9","ENSG00000177410"
"ENSG000002652412",2.76810402988645e-09,0.325349913827725,0.975,0.932,5.72222465058127e-05,"9","ENSG00000265241"
"ENSG00000087365",2.82286276734864e-09,0.289028423772147,0.951,0.804,5.8354219126631e-05,"9","ENSG00000087365"
"ENSG000001023171",2.92420827967393e-09,0.320805409473881,0.951,0.844,6.04492335574194e-05,"9","ENSG00000102317"
"ENSG000001059931",2.99860349561653e-09,0.312417743466201,0.984,0.884,6.19871314613848e-05,"9","ENSG00000105993"
"ENSG000001436212",3.05259018570401e-09,0.313138515239647,0.959,0.876,6.31031443188733e-05,"9","ENSG00000143621"
"ENSG000001836961",3.0820904008196e-09,0.270149553232539,0.713,0.441,6.37129727657429e-05,"9","ENSG00000183696"
"ENSG000000889861",3.17802303080404e-09,0.357783762592248,1,0.984,6.56960920927811e-05,"9","ENSG00000088986"
"ENSG000001235051",3.38010745489421e-09,0.284829404579113,0.779,0.583,6.98735813075731e-05,"9","ENSG00000123505"
"ENSG000000818703",3.40186700764023e-09,0.254139431486851,0.836,0.579,7.03233947819387e-05,"9","ENSG00000081870"
"ENSG00000127314",3.96080695329889e-09,0.29656525497852,0.934,0.854,8.18778013385946e-05,"9","ENSG00000127314"
"ENSG00000155368",4.07583167859049e-09,0.305333053275618,0.992,0.942,8.42555924598225e-05,"9","ENSG00000155368"
"ENSG00000005075",5.10460382208425e-09,0.256763941702814,0.967,0.912,0.000105522370210126,"9","ENSG00000005075"
